                        XXXXXXXXXX                        
                        XXsf  soXX                        
                        XX      XX                        
XXXXXXXXXXXXXXXXXXXXXXXXXX      XXXXXXXXXXXXXXXXXXXXXXXXXX
XXt2                                                    XX
XXt2                                                    XX
XXt2                                                    XX
XXXX                                                  XXXX
XX                                                    t6XX
XX                                                    t6XX
XX                                                    t6XX
XXXX                                                  XXXX
XXt2                                                  XXXX
XXXX                                                  t6XX
XXt2                                                  XXXX
XXXX                                                  t6XX
XXt2                                                  XXXX
XXXXXXXXXXXXXXXXXXXXXXXXXX      XXXXXXXXXXXXXXXXXXXXXXXXXX
                        XX      XX                        
                        XXGG  GGXX                        
                        XXXXXXXXXX                        
